"country","date","time","cases","newCases","deaths","newDeaths","population","population.1","closeSchool","banEvent","lockdown","socialDistancing","caseBased"
"Austria",2020-02-15,0,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-16,1,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-17,2,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-18,3,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-19,4,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-20,5,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-21,6,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-22,7,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-23,8,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-24,9,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-25,10,0,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-26,11,2,2,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-27,12,2,0,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-28,13,5,3,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-02-29,14,7,2,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-01,15,10,3,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-02,16,14,4,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-03,17,18,4,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-04,18,24,6,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-05,19,29,5,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-06,20,41,12,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-07,21,74,33,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-08,22,99,25,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-09,23,102,3,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-10,24,131,29,0,0,8847037,8847037,0,0,0,0,0
"Austria",2020-03-11,25,182,51,0,0,8847037,8847037,0,1,0,0,0
"Austria",2020-03-12,26,246,64,0,0,8847037,8847037,0,1,0,0,0
"Austria",2020-03-13,27,361,115,1,1,8847037,8847037,0,1,0,0,0
"Austria",2020-03-14,28,504,143,1,0,8847037,8847037,0,1,0,0,0
"Austria",2020-03-15,29,655,151,1,0,8847037,8847037,1,1,0,0,0
"Austria",2020-03-16,30,860,205,1,0,8847037,8847037,1,1,0,0,0
"Austria",2020-03-17,31,1016,156,3,2,8847037,8847037,1,1,1,1,1
"Austria",2020-03-18,32,1332,316,3,0,8847037,8847037,1,1,1,1,1
"Austria",2020-03-19,33,1646,314,4,1,8847037,8847037,1,1,1,1,1
"Austria",2020-03-20,34,2196,550,6,2,8847037,8847037,1,1,1,1,1
"Austria",2020-03-21,35,2649,453,6,0,8847037,8847037,1,1,1,1,1
"Austria",2020-03-22,36,3024,375,8,2,8847037,8847037,1,1,1,1,1
"Austria",2020-03-23,37,3631,607,16,8,8847037,8847037,1,1,1,1,1
"Austria",2020-03-24,38,4486,855,25,9,8847037,8847037,1,1,1,1,1
"Austria",2020-03-25,39,5282,796,30,5,8847037,8847037,1,1,1,1,1
"Austria",2020-03-26,40,5888,606,34,4,8847037,8847037,1,1,1,1,1
"Austria",2020-03-27,41,7029,1141,52,18,8847037,8847037,1,1,1,1,1
"Austria",2020-03-28,42,7697,668,68,16,8847037,8847037,1,1,1,1,1
"Austria",2020-03-29,43,8291,594,68,0,8847037,8847037,1,1,1,1,1
"Austria",2020-03-30,44,8813,522,86,18,8847037,8847037,1,1,1,1,1
"Austria",2020-03-31,45,9618,805,108,22,8847037,8847037,1,1,1,1,1
"Austria",2020-04-01,46,10182,564,128,20,8847037,8847037,1,1,1,1,1
"Austria",2020-04-02,47,10711,529,146,18,8847037,8847037,1,1,1,1,1
"Austria",2020-04-03,48,11129,418,158,12,8847037,8847037,1,1,1,1,1
"Austria",2020-04-04,49,11525,396,168,10,8847037,8847037,1,1,1,1,1
"Austria",2020-04-05,50,11766,241,186,18,8847037,8847037,1,1,1,1,1
"Austria",2020-04-06,51,11983,217,204,18,8847037,8847037,1,1,1,1,1
"Austria",2020-04-07,52,12297,314,220,16,8847037,8847037,1,1,1,1,1
"Austria",2020-04-08,53,12640,343,243,23,8847037,8847037,1,1,1,1,1
"Austria",2020-04-09,54,12969,329,273,30,8847037,8847037,1,1,1,1,1
"Austria",2020-04-10,55,13248,279,295,22,8847037,8847037,1,1,1,1,1
"Austria",2020-04-11,56,13560,312,319,24,8847037,8847037,1,1,1,1,1
"Austria",2020-04-12,57,13807,247,337,18,8847037,8847037,1,1,1,1,1
"Austria",2020-04-13,58,13937,130,350,13,8847037,8847037,1,1,1,1,1
"Austria",2020-04-14,59,14043,106,368,18,8847037,8847037,1,1,1,1,1
"Austria",2020-04-15,60,14234,191,384,16,8847037,8847037,1,1,1,1,1
"Austria",2020-04-16,61,14370,136,393,9,8847037,8847037,1,1,1,1,1
"Austria",2020-04-17,62,14448,78,410,17,8847037,8847037,1,1,1,1,1
"Austria",2020-04-18,63,14603,155,431,21,8847037,8847037,1,1,1,1,1
"Belgium",2020-02-15,0,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-16,1,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-17,2,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-18,3,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-19,4,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-20,5,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-21,6,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-22,7,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-23,8,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-24,9,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-25,10,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-26,11,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-27,12,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-28,13,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-02-29,14,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-01,15,1,0,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-02,16,2,1,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-03,17,8,6,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-04,18,13,5,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-05,19,23,10,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-06,20,50,27,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-07,21,109,59,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-08,22,169,60,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-09,23,200,31,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-10,24,239,39,0,0,11422068,11422068,0,0,0,0,0
"Belgium",2020-03-11,25,267,28,0,0,11422068,11422068,0,0,0,0,1
"Belgium",2020-03-12,26,314,47,3,3,11422068,11422068,0,0,0,0,1
"Belgium",2020-03-13,27,399,85,3,0,11422068,11422068,0,1,0,0,1
"Belgium",2020-03-14,28,559,160,3,0,11422068,11422068,0,1,0,0,1
"Belgium",2020-03-15,29,689,130,4,1,11422068,11422068,1,1,0,1,1
"Belgium",2020-03-16,30,886,197,4,0,11422068,11422068,1,1,0,1,1
"Belgium",2020-03-17,31,1085,199,5,1,11422068,11422068,1,1,0,1,1
"Belgium",2020-03-18,32,1243,158,5,0,11422068,11422068,1,1,0,1,1
"Belgium",2020-03-19,33,1486,243,14,9,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-20,34,1795,309,21,7,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-21,35,2257,462,37,16,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-22,36,2815,558,67,30,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-23,37,3401,586,75,8,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-24,38,3743,342,88,13,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-25,39,4269,526,122,34,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-26,40,4937,668,178,56,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-27,41,6235,1298,220,42,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-28,42,7284,1049,289,69,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-29,43,9134,1850,353,64,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-30,44,10836,1702,431,78,11422068,11422068,1,1,1,1,1
"Belgium",2020-03-31,45,11899,1063,513,82,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-01,46,12775,876,705,192,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-02,47,13964,1189,828,123,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-03,48,15348,1384,1011,183,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-04,49,16770,1422,1143,132,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-05,50,18431,1661,1283,140,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-06,51,19691,1260,1447,164,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-07,52,20814,1123,1632,185,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-08,53,22194,1380,2035,403,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-09,54,23403,1209,2240,205,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-10,55,24983,1580,2523,283,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-11,56,26667,1684,3019,496,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-12,57,28018,1351,3346,327,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-13,58,29647,1629,3600,254,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-14,59,30589,942,3903,303,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-15,60,31119,530,4157,254,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-16,61,33573,2454,4440,283,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-17,62,34809,1236,4857,417,11422068,11422068,1,1,1,1,1
"Belgium",2020-04-18,63,36138,1329,5163,306,11422068,11422068,1,1,1,1,1
"Denmark",2020-02-15,0,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-16,1,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-17,2,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-18,3,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-19,4,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-20,5,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-21,6,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-22,7,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-23,8,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-24,9,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-25,10,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-26,11,0,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-27,12,1,1,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-28,13,1,0,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-02-29,14,2,1,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-01,15,3,1,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-02,16,4,1,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-03,17,5,1,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-04,18,8,3,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-05,19,10,2,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-06,20,20,10,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-07,21,23,3,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-08,22,31,8,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-09,23,38,7,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-10,24,113,75,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-11,25,264,151,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-12,26,516,252,0,0,5797446,5797446,0,0,0,0,0
"Denmark",2020-03-13,27,676,160,0,0,5797446,5797446,0,1,0,0,1
"Denmark",2020-03-14,28,804,128,0,0,5797446,5797446,1,1,0,1,1
"Denmark",2020-03-15,29,827,23,0,0,5797446,5797446,1,1,0,1,1
"Denmark",2020-03-16,30,875,48,1,1,5797446,5797446,1,1,0,1,1
"Denmark",2020-03-17,31,932,57,1,0,5797446,5797446,1,1,0,1,1
"Denmark",2020-03-18,32,1024,92,4,3,5797446,5797446,1,1,0,1,1
"Denmark",2020-03-19,33,1115,91,4,0,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-20,34,1151,36,6,2,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-21,35,1255,104,9,3,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-22,36,1326,71,13,4,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-23,37,1395,69,13,0,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-24,38,1460,65,24,11,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-25,39,1591,131,32,8,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-26,40,1724,133,34,2,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-27,41,1877,153,41,7,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-28,42,2046,169,52,11,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-29,43,2201,155,65,13,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-30,44,2395,194,72,7,5797446,5797446,1,1,1,1,1
"Denmark",2020-03-31,45,2577,182,77,5,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-01,46,2860,283,90,13,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-02,47,3107,247,104,14,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-03,48,3386,279,123,19,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-04,49,3757,371,139,16,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-05,50,4077,320,161,22,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-06,51,4369,292,179,18,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-07,52,4681,312,187,8,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-08,53,5071,390,203,16,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-09,54,5402,331,218,15,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-10,55,5635,233,237,19,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-11,56,5819,184,247,10,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-12,57,5996,177,260,13,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-13,58,6174,178,273,13,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-14,59,6318,144,285,12,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-15,60,6511,193,299,14,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-16,61,6681,170,309,10,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-17,62,6879,198,321,12,5797446,5797446,1,1,1,1,1
"Denmark",2020-04-18,63,7073,194,336,15,5797446,5797446,1,1,1,1,1
"France",2020-02-15,0,11,0,1,1,66987244,66987244,0,0,0,0,0
"France",2020-02-16,1,11,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-17,2,12,1,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-18,3,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-19,4,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-20,5,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-21,6,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-22,7,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-23,8,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-24,9,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-25,10,12,0,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-26,11,14,2,1,0,66987244,66987244,0,0,0,0,0
"France",2020-02-27,12,17,3,2,1,66987244,66987244,0,0,0,0,0
"France",2020-02-28,13,38,21,2,0,66987244,66987244,0,0,0,0,0
"France",2020-02-29,14,57,19,2,0,66987244,66987244,0,0,0,0,0
"France",2020-03-01,15,100,43,2,0,66987244,66987244,0,0,0,0,0
"France",2020-03-02,16,130,30,2,0,66987244,66987244,0,0,0,0,0
"France",2020-03-03,17,178,48,3,1,66987244,66987244,0,0,0,0,0
"France",2020-03-04,18,212,34,4,1,66987244,66987244,0,0,0,0,0
"France",2020-03-05,19,285,73,4,0,66987244,66987244,0,0,0,0,0
"France",2020-03-06,20,423,138,7,3,66987244,66987244,0,0,0,0,0
"France",2020-03-07,21,613,190,9,2,66987244,66987244,0,0,0,0,0
"France",2020-03-08,22,716,103,10,1,66987244,66987244,0,0,0,0,0
"France",2020-03-09,23,1126,410,19,9,66987244,66987244,0,0,0,0,0
"France",2020-03-10,24,1412,286,30,11,66987244,66987244,0,0,0,0,0
"France",2020-03-11,25,1784,372,33,3,66987244,66987244,0,0,0,0,0
"France",2020-03-12,26,2281,497,48,15,66987244,66987244,0,0,0,0,0
