"","Country","Infant_mortality_rate","Under5_mortality_rate","LargeUrban_%Population","PopDensity","Rural_pop%","Urban_pop%"
"1","Afghanistan",47.9,62.3,10.79233924,56.93776001,74.505,25.495
"2","Albania",7.8,8.8,NA,104.6122628,39.681,60.319
"3","Algeria",20.1,23.5,6.378503922,17.73007507,27.371,72.629
"4","American_Samoa",NA,NA,NA,277.325,12.847,87.153
"5","Andorra",2.7,2.9,NA,163.8425532,11.938,88.062
"6","Angola",51.6,77.2,25.23291157,24.71305206,34.486,65.514
"7","Antigua_and_Barbuda",5,6.4,NA,218.8318182,75.401,24.599
"8","Arab_World",26.47767262,34.99293728,23.5495003,37.37236537,41.07458141,58.92541859
"9","Argentina",8.8,9.9,43.00810244,16.2585101,8.13,91.87
"10","Armenia",11,12.4,36.59911863,103.6802248,36.851,63.149
"11","Aruba",NA,NA,NA,588.0277778,56.589,43.411
"12","Australia",3.1,3.7,60.86803136,3.249129487,13.988,86.012
"13","Austria",2.9,3.5,21.48229967,107.2069267,41.703,58.297
"14","Azerbaijan",19.2,21.5,22.98986335,120.2653199,44.32,55.68
"15","Bahamas__The",8.3,10.2,NA,38.52547453,16.975,83.025
"16","Bahrain",6.1,7.1,NA,2017.2737,10.713,89.287
"17","Bangladesh",25.1,30.2,15.11809917,1239.579312,63.368,36.632
"18","Barbados",11.3,12.2,NA,666.6069767,68.853,31.147
"19","Belarus",2.6,3.4,21.13432179,46.7287999,21.405,78.595
"20","Belgium",2.9,3.7,26.98039444,377.2149273,1.999,98.001
"21","Belize",11.2,13,NA,16.79399386,54.276,45.724
"22","Benin",60.5,93,NA,101.8539198,52.688,47.312
"23","Bermuda",NA,NA,NA,1184.592572,0,100
"24","Bhutan",24.8,29.7,NA,19.77752777,59.105,40.895
"25","Bolivia",21.8,26.8,41.33561441,10.48014585,30.575,69.425
"26","Bosnia_and_Herzegovina",5,5.8,NA,64.92048828,51.755,48.245
"27","Botswana",30,36.5,NA,3.977424876,30.554,69.446
"28","Brazil",12.8,14.4,41.94619315,25.06171624,13.431,86.569
"29","British_Virgin_Islands",NA,NA,NA,198.68,52.277,47.723
"30","Brunei_Darussalam",9.8,11.6,NA,81.39696395,22.371,77.629
"31","Bulgaria",5.9,7.1,18.11473337,64.70353721,24.992,75.008
"32","Burkina_Faso",49,76.4,12.8161229,72.19128289,70.642,29.358
"33","Burundi",41,58.5,NA,435.178271,86.968,13.032
"34","Cabo_Verde",16.7,19.5,NA,134.9297767,34.268,65.732
"35","Cambodia",24,28,12.01448166,92.05641287,76.612,23.388
"36","Cameroon",50.6,76.1,28.02860316,53.34398891,43.626,56.374
"37","Canada",4.3,5,45.9325269,4.075308214,18.589,81.411
"38","Caribbean_small_states",14.863102,17.17884617,NA,18.17701618,48.80063842,51.19936158
"39","Cayman_Islands",NA,NA,NA,267.3916667,0,100
"40","Central_African_Republic",84.5,116.5,NA,7.490412212,58.636,41.364
"41","Central_Europe_and_the_Baltics",4.189120489,4.984027168,NA,92.76643663,37.66792394,62.33207606
"42","Chad",71.4,119,8.545679537,12.29173364,76.941,23.059
"43","Channel_Islands",NA,NA,NA,861.1060938,69.086,30.914
"44","Chile",6.2,7.2,35.66828945,25.18944607,12.436,87.564
"45","China",7.4,8.6,27.88756177,148.3488333,40.848,59.152
"46","Colombia",12.2,14.2,43.89680009,44.74870212,19.222,80.778
"47","Comoros",51.3,67.5,NA,447.2444775,71.035,28.965
"48","Congo__Dem._Rep.",68.2,88.1,24.09900565,37.08259236,55.54,44.46
"49","Congo__Rep.",36.2,50.1,64.20802679,15.35684627,33.084,66.916
"50","Costa_Rica",7.6,8.8,27.15793626,97.91306306,20.66,79.34
"51","Cote_d'Ivoire",59.4,80.9,19.62874885,78.83405346,49.221,50.779
"52","Croatia",4,4.7,NA,73.077198,43.053,56.947
"53","Cuba",3.7,5,18.84319983,108.9995962,22.963,77.037
"54","Curacao",NA,NA,NA,NA,10.855,89.145
"55","Cyprus",1.9,2.4,NA,128.7083333,33.19,66.81
"56","Czech_Republic",2.7,3.4,12.15498845,137.6028879,26.208,73.792
"57","Denmark",3.6,4.2,22.7828944,138.0673017,12.126,87.874
"58","Djibouti",49.8,59.3,NA,41.36842105,22.223,77.777
"59","Dominica",32.9,35.7,NA,95.5,29.517,70.483
"60","Dominican_Republic",24.1,28.8,29.84946597,219.9785759,18.926,81.074
"61","Early-demographic_dividend",28.68654974,35.36126559,18.78981643,98.13836364,54.8687433,45.1312567
"62","East_Asia_&_Pacific",12.5,15,NA,95.43160553,40.94721133,59.05278867
"63","East_Asia_&_Pacific_(excluding_high_income)",13.08441501,15.73464015,NA,130.8104315,44.36641176,55.63358824
"64","East_Asia_&_Pacific_(IDA_&_IBRD_countries)",13.0767722,15.7040314,NA,130.185453,44.44490798,55.55509202
"65","Ecuador",12.2,14.2,27.63459579,68.78868175,36.179,63.821
"66","Egypt__Arab_Rep.",18.1,21.2,25.56525394,98.87346929,57.296,42.704
"67","El_Salvador",11.8,13.7,17.23628913,309.8814672,27.977,72.023
"68","Equatorial_Guinea",62.6,85.3,NA,46.66573975,27.857,72.143
"69","Eritrea",31.3,41.9,NA,NA,NA,NA
"70","Estonia",2.1,2.6,NA,30.38610536,31.12,68.88
"71","Eswatini",43,54.4,NA,66.05761628,76.201,23.799
"72","Ethiopia",39.1,55.2,4.028099578,109.224559,79.237,20.763
"73","Euro_area",3.019165176,3.59485862,19.48086534,127.5822777,23.00826729,76.99173271
"74","Europe_&_Central_Asia",7.5,8.7,20.51033647,33.4968853,27.8164895,72.1835105
"75","Europe_&_Central_Asia_(excluding_high_income)",11.05711949,12.7200018,22.37887958,18.47737541,33.05261949,66.94738051
"76","Europe_&_Central_Asia_(IDA_&_IBRD_countries)",10.60121473,12.19772699,20.7770158,20.01725666,33.71316769,66.28683231
"77","European_Union",3.318527562,3.951215235,18.67984291,121.0781941,24.33435153,75.66564847
"78","Faroe_Islands",NA,NA,NA,34.73996983,57.936,42.064
"79","Fiji",21.6,25.6,NA,48.35703339,43.752,56.248
"80","Finland",1.4,1.7,23.18021765,18.15685565,14.618,85.382
"81","Fragile_and_conflict_affected_situations",50.85853898,70.00102974,17.72738373,39.86931254,58.49317094,41.50682906
"82","France",3.4,4,22.75708342,122.3383957,19.556,80.444
"83","French_Polynesia",NA,NA,NA,75.86857923,38.166,61.834
"84","Gabon",32.7,44.8,NA,8.224764233,10.63,89.37
"85","Gambia__The",39,58.4,NA,225.3065217,38.73,61.27
"86","Georgia",8.7,9.8,28.87518092,65.27520207,41.368,58.632
"87","Germany",3.1,3.7,9.580472787,237.3709698,22.688,77.312
"88","Ghana",34.9,47.9,18.49056684,130.8214292,43.94,56.06
"89","Gibraltar",NA,NA,NA,3371.8,0,100
"90","Greece",3.6,4.5,29.41552628,83.22473235,20.942,79.058
"91","Greenland",NA,NA,NA,0.136496528,13.184,86.816
"92","Grenada",13.7,15.2,NA,327.8058824,63.728,36.272
"93","Guam",NA,NA,NA,306.9777778,5.22,94.78
"94","Guatemala",22.1,26.2,16.53024063,160.9537794,48.946,51.054
"95","Guinea",64.9,100.8,14.84673584,50.52221227,63.86,36.14
"96","Guinea-Bissau",54,81.5,NA,66.65394737,56.64,43.36
"97","Guyana",25.1,30.1,NA,3.957348235,73.394,26.606
"98","Haiti",49.5,64.8,23.70512702,403.5985486,44.722,55.278
"99","Heavily_indebted_poor_countries_(HIPC)",48.1337812,68.40483982,14.14606762,44.89578165,63.99153474,36.00846526
"100","High_income",4.3,5,NA,34.43776584,18.66502164,81.33497836
"101","Honduras",15.1,17.6,14.21682266,85.68703191,42.904,57.096
"102","Hong_Kong_SAR__China",NA,NA,99.70322104,7096.190476,0,100
"103","Hungary",3.6,4.3,18.01142107,107.9066055,28.649,71.351
"104","IBRD_only",18.91966936,23.02502863,23.42379674,68.7859052,44.987572,55.012428
"105","Iceland",1.5,2,NA,3.526922693,6.187,93.813
"106","IDA_&_IBRD_total",31.24152122,41.87593741,21.29235643,68.70845188,49.57779823,50.42220177
"107","IDA_blend",59.49375444,85.25318843,NA,93.32562183,57.61957498,42.38042502
"108","IDA_only",44.60439954,62.23842495,13.15488967,60.26218738,65.68403008,34.31596992
"109","IDA_total",49.72102372,70.14728978,14.79504709,68.48408972,62.94813494,37.05186506
"110","India",29.9,36.6,15.43508062,454.9380726,65.97,34.03
"111","Indonesia",21.1,25,13.38340741,147.7521901,44.675,55.325
"112","Iran__Islamic_Rep.",12.4,14.4,25.98872138,50.22242012,25.102,74.898
"113","Iraq",22.5,26.7,25.07746607,88.53057004,29.527,70.473
"114","Ireland",3.1,3.7,24.75377593,70.45298302,36.83,63.17
"115","Isle_of_Man",NA,NA,NA,147.5035088,47.412,52.588
"116","Israel",3,3.7,57.92363628,410.5268022,7.582,92.418
"117","Italy",2.6,3,18.74120065,205.4507479,29.562,70.438
"118","Jamaica",12.4,14.4,NA,270.9930748,44.326,55.674
"119","Japan",1.8,2.5,64.62804209,347.0734584,8.384,91.616
"120","Jordan",13.9,16.2,20.73704017,112.1424983,9.021,90.979
"121","Kazakhstan",8.8,9.9,15.85160265,6.769825907,42.572,57.428
"122","Kenya",30.6,41.1,10.89599734,90.29941666,72.97,27.03
"123","Kiribati",41.2,52.5,NA,143.0209877,45.943,54.057
"124","Korea__Dem._Peopleâ€™s_Rep.",13.7,18.2,11.88995507,212.1901752,38.101,61.899
"125","Korea__Rep.",2.7,3.2,50.14615789,529.6521036,18.541,81.459
"126","Kosovo",NA,NA,NA,NA,NA,NA
"127","Kuwait",6.7,7.9,72.25155288,232.1722222,0,100
"128","Kyrgyz_Republic",16.9,18.9,NA,32.92909281,63.649,36.351
"129","Lao_PDR",37.6,47.3,NA,30.59578423,64.996,35.004
"130","Late-demographic_dividend",8.962201651,10.4773181,27.91350949,51.40872056,37.55490098,62.44509902
"131","Latin_America_&_Caribbean",14,16.4,38.02551583,32.00573337,19.41670901,80.58329099
"132","Latin_America_&_Caribbean_(excluding_high_income)",14.23795516,16.71081106,37.79061884,32.02146146,19.5983744,80.4016256
"133","Latin_America_&_the_Caribbean_(IDA_&_IBRD_countries)",14.13290508,16.57674509,38.17668395,31.41414444,19.39858768,80.60141232
"134","Latvia",3.3,3.9,NA,30.98330653,31.858,68.142
"135","Least_developed_countries:_UN_classification",45.73573683,64.25969103,12.84592301,56.8413289,66.43193992,33.56806008
"136","Lebanon",6.4,7.4,34.82693999,669.4941349,11.407,88.593
"137","Lesotho",65.7,81.1,NA,69.43781291,71.847,28.153
"138","Liberia",53.5,70.9,29.43155778,50.03090739,48.849,51.151
"139","Libya",10.2,12,17.33524572,3.795632381,19.898,80.102
"140","Liechtenstein",NA,NA,NA,236.9375,85.662,14.338
"141","Lithuania",3.3,4,NA,44.53135138,32.321,67.679
"142","Low_&_middle_income",31.30871595,41.96890106,21.27711344,69.24159606,49.67215576,50.32784424
"143","Low_income",48.1,68.1,11.91295511,51.67373831,67.42779611,32.57220389
"144","Lower_middle_income",36.9,49.1,16.24346065,150.0815182,59.49211022,40.50788978
"145","Luxembourg",1.9,2.4,NA,250.0938272,9.019,90.981
"146","Macao_SAR__China",NA,NA,NA,20777.50026,0,100
"147","Madagascar",38.2,53.6,11.64551117,45.13985562,62.809,37.191
"148","Malawi",35.3,49.7,5.675032374,192.4407616,83.063,16.937
"149","Malaysia",6.7,7.8,23.99064849,95.96282149,23.964,76.036
"150","Maldives",7.4,8.6,NA,1718.986667,60.192,39.808
"151","Mali",62,97.8,12.82518481,15.63501586,57.644,42.356
"152","Malta",6.1,7,NA,1511.03125,5.388,94.612
"153","Marshall_Islands",27.4,33.1,NA,324.5166667,22.969,77.031
"154","Mauritania",51.5,75.7,27.37512317,4.272163578,46.328,53.672
"155","Mauritius",13.6,15.5,NA,623.3019704,59.207,40.793
"156","Mexico",11,12.7,40.70904209,64.91462641,19.844,80.156
"157","Micronesia__Fed._Sts.",25.6,30.8,NA,160.9142857,77.297,22.703
"158","Middle_East_&_North_Africa",18.3,21.9,25.97641945,39.99770291,34.62802568,65.37197432
"159","Middle_East_&_North_Africa_(excluding_high_income)",19.78586816,23.65215215,21.89597819,44.31116946,38.40945248,61.59054752
"160","Middle_East_&_North_Africa_(IDA_&_IBRD_countries)",19.82562649,23.70576561,21.89597819,43.81292975,38.585457,61.414543
"161","Middle_income",27.3546151,35.81561677,22.36766203,72.29486998,47.46574253,52.53425747
"162","Moldova",13.6,15.8,NA,123.5198035,57.371,42.629
"163","Monaco",2.6,3.2,NA,NA,0,100
"164","Mongolia",14,16.3,47.95839894,2.040608667,31.555,68.445
"165","Montenegro",2.3,2.5,NA,46.27100372,33.187,66.813
"166","Morocco",19.2,22.4,21.73157182,80.72851893,37.547,62.453
"167","Mozambique",54,73.2,9.279788874,37.50853531,64.012,35.988
"168","Myanmar",36.8,46.2,12.16108208,82.23861548,69.421,30.579
"169","Namibia",29,39.6,NA,2.973745582,49.968,50.032
"170","Nauru",26.4,31.8,NA,635.2,0,100
"171","Nepal",26.7,32.2,4.734185799,195.9391071,80.26,19.74
"172","Netherlands",3.3,3.9,12.41638842,511.4579104,8.51,91.49
"173","New_Caledonia",NA,NA,NA,15.53938731,29.317,70.683
"174","New_Zealand",4.7,5.7,31.86726026,18.55417569,13.462,86.538
"175","Nicaragua",15.7,18.3,16.20788637,53.72704836,41.478,58.522
"176","Niger",48,83.7,5.408295737,17.71765059,83.575,16.425
"177","Nigeria",75.7,119.9,16.51382001,215.064989,49.656,50.344
"178","North_America",5.5,6.4,46.22482029,19.97097624,17.82684516,82.17315484
"179","North_Macedonia",8.7,9.9,NA,82.59151467,42.037,57.963
"180","Northern_Mariana_Islands",NA,NA,NA,123.6565217,8.382,91.618
"181","Norway",2.1,2.5,19.04706439,14.55491954,17.752,82.248
"182","Not_classified",NA,NA,NA,NA,NA,NA
"183","OECD_members",5.494059347,6.432742093,37.06471665,37.80923456,19.40669243,80.59330757
"184","Oman",9.8,11.4,29.95275064,15.6041454,15.461,84.539
"185","Other_small_states",36.39172647,48.73086035,NA,15.13861641,37.88196185,62.11803815
"186","Pacific_island_small_states",20.39457399,24.25108666,NA,38.27674455,61.21865588,38.78134412
"187","Pakistan",57.2,69.3,20.0718672,275.2893187,63.334,36.666
"188","Palau",16.6,17.9,NA,38.92826087,20.07,79.93
"189","Panama",13.1,15.3,42.69916754,56.18607748,32.291,67.709
"190","Papua_New_Guinea",38,47.8,NA,19.00436338,86.831,13.169
"191","Paraguay",17.2,20.2,46.32211201,17.50835892,38.415,61.585
"192","Peru",11.1,14.3,32.48155256,24.99160625,22.093,77.907
"193","Philippines",22.5,28.4,14.27770613,357.6883053,53.093,46.907
"194","Poland",3.8,4.4,4.654727716,124.0358862,39.942,60.058
"195","Portugal",3.1,3.7,41.18214368,112.2394535,34.789,65.211
"196","Post-demographic_dividend",4.092187384,4.84032784,36.99297361,35.26748894,18.71930522,81.28069478
"197","Pre-demographic_dividend",54.98926531,81.04714758,16.0692553,51.68744002,58.77304849,41.22695151
"198","Puerto_Rico",NA,NA,76.81438103,360.2201804,6.422,93.578
"199","Qatar",5.8,6.8,NA,239.5931955,0.865,99.135
"200","Romania",6.1,7.3,9.352911502,84.63984701,46.002,53.998
"201","Russian_Federation",6.1,7.2,23.19133045,8.822079555,25.567,74.433
"202","Rwanda",27,35.3,8.598937127,498.6598703,82.789,17.211
"203","Samoa",13.6,15.8,NA,69.30388693,81.757,18.243
"204","San_Marino",1.7,2,NA,563.0833333,2.774,97.226
"205","Sao_Tome_and_Principe",24.4,31.2,NA,219.8208333,27.197,72.803
"206","Saudi_Arabia",6,7.1,47.28047198,15.67665431,16.156,83.844
"207","Senegal",31.8,43.6,18.7861194,82.34747832,52.808,47.192
"208","Serbia",4.8,5.5,19.89880099,79.83174022,43.908,56.092
"209","Seychelles",12.4,14.5,NA,210.3521739,43.309,56.691
"210","Sierra_Leone",78.5,105.1,14.84870762,105.987171,57.945,42.055
"211","Singapore",2.3,2.8,100,7952.998418,0,100
"212","Sint_Maarten_(Dutch_part)",NA,NA,NA,NA,0,100
"213","Slovak_Republic",4.6,5.6,NA,113.2905782,46.274,53.726
"214","Slovenia",1.7,2.1,NA,102.6398595,45.459,54.541
"215","Small_states",32.48664327,42.93551424,NA,16.22446282,41.27557593,58.72442407
"216","Solomon_Islands",17.1,20,NA,23.32468739,76.251,23.749
"217","Somalia",76.6,121.5,13.86995363,23.9234769,55.029,44.971
"218","South_Africa",28.5,33.8,35.30782358,47.63011978,33.645,66.355
"219","South_Asia",34.5,42.1,15.69168959,380.2471337,66.00763875,33.99236125
"220","South_Asia_(IDA_&_IBRD)",34.48428631,42.15910212,15.69168959,380.2471337,66.00763875,33.99236125
"221","South_Sudan",63.7,98.6,NA,NA,80.385,19.615
"222","Spain",2.5,3,25.66414138,93.52905826,19.679,80.321
"223","Sri_Lanka",6.4,7.4,NA,345.558922,81.524,18.476
"224","St._Kitts_and_Nevis",9.8,12,NA,201.6961538,69.224,30.776
"225","St._Lucia",14.9,16.6,NA,298.1786885,81.322,18.678
"226","St._Martin_(French_part)",NA,NA,NA,NA,NA,NA
"227","St._Vincent_and_the_Grenadines",14.8,16.4,NA,282.5897436,47.802,52.198
"228","Sub-Saharan_Africa",52.7,77.5,15.62331283,50.76208431,59.82317663,40.17682337
"229","Sub-Saharan_Africa_(excluding_high_income)",52.7366217,77.48161455,15.62331283,50.75862834,59.82465866,40.17534134
"230","Sub-Saharan_Africa_(IDA_&_IBRD_countries)",52.73491736,77.47895338,15.62331283,50.76208431,59.82317663,40.17682337
"231","Sudan",42.1,60.5,13.23893791,NA,65.358,34.642
"232","Suriname",16.9,18.9,NA,3.69225,33.94,66.06
"233","Sweden",2.2,2.7,15.54493564,25.00104343,12.569,87.431
"234","Switzerland",3.7,4.1,16.09548616,215.5213784,26.203,73.797
"235","Syrian_Arab_Republic",14,16.7,31.75374504,92.06710777,45.838,54.162
"236","Tajikistan",30.4,34.8,NA,65.57271417,72.866,27.134
"237","Tanzania",37.6,53,12.51966233,63.5790788,66.224,33.776
"238","Thailand",7.8,9.1,20.05521247,135.8972068,50.051,49.949
"239","Timor-Leste",39.3,45.8,NA,85.27047747,69.422,30.578
"240","Togo",47.4,69.8,22.12857395,145.0467733,58.298,41.702
"241","Tonga",13.4,15.6,NA,143.3291667,76.869,23.131
"242","Trinidad_and_Tobago",16.4,18.3,NA,270.9274854,46.816,53.184
"243","Tunisia",14.6,17,19.80749324,74.44132338,31.055,68.945
"244","Turkey",9.1,10.6,36.85534587,106.9601289,24.857,75.143
"245","Turkmenistan",39.3,45.8,NA,12.45059477,48.407,51.593
"246","Turks_and_Caicos_Islands",NA,NA,NA,39.64736842,6.902,93.098
"247","Tuvalu",20.6,24.4,NA,383.6,37.613,62.387
"248","Uganda",33.8,46.4,6.990010729,213.0617345,76.226,23.774
"249","Ukraine",7.5,8.7,12.11000294,77.02966735,30.648,69.352
"250","United_Arab_Emirates",6.5,7.6,59.97247003,135.6091101,13.478,86.522
"251","United_Kingdom",3.6,4.3,26.81889849,274.8273922,16.602,83.398
"252","United_States",5.6,6.5,46.2579289,35.76608858,17.744,82.256
"253","Upper_middle_income",10.8,12.6,29.39325247,45.46917663,33.7666317,66.2333683
"254","Uruguay",6.4,7.6,50.35773936,19.70802765,4.666,95.334
"255","Uzbekistan",19.1,21.4,7.47667757,77.46920545,49.522,50.478
"256","Vanuatu",22.3,26.4,NA,24.00984413,74.726,25.274
"257","Venezuela__RB",21.4,24.5,32.35154802,32.73079191,11.792,88.208
"258","Vietnam",16.5,20.7,16.91038121,308.1252459,64.081,35.919
"259","Virgin_Islands_(U.S.)",NA,NA,NA,305.6485714,4.279,95.721
"260","West_Bank_and_Gaza",17.3,20.3,NA,758.9845515,23.836,76.164
"261","World",28.9,38.6,24.00524415,59.63623626,44.72942145,55.27057855
"262","Yemen__Rep.",42.9,55,9.75243877,53.97785291,63.358,36.642
"263","Zambia",40.4,57.8,14.54512385,23.3414789,56.479,43.521
"264","Zimbabwe",33.9,46.2,10.4925141,37.32459093,67.791,32.209
